nb_im,sp,pc,eig,var,first,second,third,last
100,10,1,21.2786643479396,49.48526592544093,c.perim,s.c.perim,perim,solid
100,10,2,8.228437273395214,19.13590063580282,skew.dist,kurt.dist,maj.min,perim
100,10,3,5.131968047547595,11.934809412901382,solid,perim.maj,s.c.perim.perim,r.bbox.x
100,10,4,1.951070546028709,4.537373362857462,med.dist,nb.blobs,mean.dist,c.area
100,10,5,1.2711812198046533,2.956235394894542,tx.3rd.mom,tx.gray,tx.unif,s.maj.ax
100,10,6,0.987349417346021,2.2961614356884206,mode.dist,hflip,h180,skew.dist
100,2,1,21.65166551045355,50.352710489426954,c.perim,s.c.perim,maj.ax,solid
100,2,2,7.530708335405481,17.51327519861743,skew.dist,kurt.dist,maj.min,nb.blobs
100,2,3,5.6449751333865885,13.127849147410695,solid,extent,s.c.perim.perim,mode.dist
100,2,4,1.3423358723653964,3.121711331082323,tx.3rd.mom,tx.gray,med.dist,h90
100,2,5,1.3005246440406826,3.024475916373686,hflip,h180,tx.gray,maj.min
100,2,6,0.9970521255446063,2.3187258733595537,nb.blobs,s.c.perim.perim,solid,s.c.perim
100,3,1,21.067148179020716,48.99336785818774,c.perim,s.c.perim,maj.ax,solid
100,3,2,7.932558384317016,18.447810196086092,skew.dist,kurt.dist,maj.min,s.c.perim
100,3,3,5.624176593093308,13.079480449054213,perim.maj,solid,s.c.perim.perim,r.bbox.x
100,3,4,1.7554033010635626,4.082333258287356,med.dist,mean.dist,nb.blobs,s.vol
100,3,5,1.1200739171562772,2.6048230631541345,tx.3rd.mom,tx.gray,nb.blobs,perim.maj
100,3,6,1.0458804334310534,2.432280077746637,nb.blobs,h180,hflip,r.bbox.y
100,4,1,20.732364193924543,48.2148004509873,c.perim,s.c.perim,perim,extent
100,4,2,8.400215866177126,19.535385735295637,skew.dist,kurt.dist,maj.min,c.perim
100,4,3,5.145250991260066,11.96569997967457,perim.maj,solid,s.c.perim.perim,s.area
100,4,4,1.677583732043722,3.9013575163807483,med.dist,mean.dist,tx.3rd.mom,r.bbox.x
100,4,5,1.2403113450681897,2.884444988530673,tx.gray,tx.3rd.mom,tx.contrast,ecc
100,4,6,1.0542708476813967,2.4517926690265037,nb.blobs,tx.3rd.mom,tx.contrast,area.perim
100,5,1,20.77358644696248,48.31066615572674,c.perim,s.c.perim,perim,solid
100,5,2,8.57108431238155,19.932754214840838,skew.dist,kurt.dist,maj.min,c.perim
100,5,3,4.753818945686568,11.055392896945518,perim.maj,solid,s.c.perim.perim,eq.diam
100,5,4,1.9325913106863657,4.494398396945041,med.dist,nb.blobs,mean.dist,r.bbox.y
100,5,5,1.2432073839431905,2.8911799626585855,tx.3rd.mom,tx.gray,tx.contrast,kurt.dist
100,5,6,1.1692428849939287,2.7191694999858833,h180,h90.h180,mode.dist,vol
100,6,1,21.066998878655294,48.99302064803557,c.perim,s.c.perim,maj.ax,med.dist
100,6,2,8.8101776936561,20.48878533408395,skew.dist,area.perim2,circ,mode.dist
100,6,3,4.505969484442324,10.478998801028661,perim.maj,s.c.perim.perim,solid,r.bbox.x
100,6,4,1.849234647281681,4.300545691352746,med.dist,nb.blobs,mean.dist,maj.ax
100,6,5,1.2725608430306592,2.959443821001533,tx.3rd.mom,tx.gray,tx.contrast,hflip
100,6,6,1.0942670036751323,2.544806985291005,mode.dist,nb.blobs,h180,r.bbox.x
100,7,1,21.201171011862435,49.305048864796355,c.perim,s.c.perim,maj.ax,extent
100,7,2,8.317235098811034,19.34240720653729,skew.dist,circ,area.perim2,c.perim
100,7,3,5.258846861548935,12.229876422206827,perim.maj,h90.h180,h90.hflip,mean.dist
